b,gbt_r2,gbt_mae
0,0.193389593,0.101811108
1,0.518573255,0.101388842
2,0.288067539,0.107190321
3,0.206746754,0.118666868
4,0.13682736,0.117886619
5,0.462674857,0.106960893
6,0.489747961,0.102504702
7,0.265728274,0.120032847
8,0.404020545,0.123646334
9,0.491338874,0.113328214
10,0.43390245,0.099187407
11,0.214044541,0.117814026
12,0.397567097,0.095239928
13,0.428897632,0.11157652
14,0.295866878,0.114616521
15,0.362672628,0.106077751
16,0.242053334,0.119306745
17,0.218629763,0.127592709
18,0.434528643,0.106471883
19,0.190651852,0.125914989
20,0.473994712,0.092069561
21,0.479763776,0.130288049
22,0.191887734,0.117628841
23,0.278101931,0.1206106
24,0.344521485,0.101736327
25,0.435448631,0.122631521
26,0.39409973,0.113619083
27,0.079368882,0.12669136
28,0.446284032,0.099741166
29,0.404736736,0.111238683
30,0.264405234,0.124058372
31,0.542966649,0.103318093
32,0.414753804,0.107858729
33,0.152361986,0.109809938
34,0.308909644,0.108806892
35,0.072437775,0.118437185
36,0.51156875,0.105360638
37,0.515888386,0.100723703
38,0.061852647,0.118613885
39,0.244431637,0.117891331
40,0.355632825,0.105832971
41,0.320481169,0.120485554
42,0.187912975,0.117239664
43,0.160591528,0.124574051
44,0.579095146,0.099249466
45,0.438574862,0.10722059
46,0.188765354,0.131329277
47,0.243396557,0.100269337
48,0.336567328,0.113638332
49,0.259760852,0.126946887
50,0.447537899,0.109431825
51,0.503178764,0.13142342
52,0.310567391,0.090343572
53,0.316517117,0.121117676
54,0.581030509,0.107400696
55,0.362299091,0.112445006
56,0.406496996,0.103963524
57,0.355382909,0.1117839
58,0.435464807,0.12287624
59,0.380147371,0.110537031
60,0.287963915,0.103691808
61,0.292207026,0.115428
62,0.468209013,0.106205482
63,0.2092878,0.132241917
64,0.465017088,0.115467917
65,0.259673724,0.125016229
66,0.406335088,0.110622303
67,0.393164692,0.107400764
68,0.2815441,0.103887543
69,0.324825571,0.118365164
70,0.282960518,0.127091403
71,-0.07631308,0.128259773
72,0.1733419,0.122276586
73,0.205572171,0.140322156
74,0.313823205,0.122152655
75,0.14514325,0.131637192
76,0.251587977,0.122957278
77,0.376249186,0.106925025
78,0.251980973,0.117952307
79,0.200484042,0.117044681
80,0.269543626,0.132535503
81,0.229580415,0.120323672
82,0.481664504,0.119517979
83,0.292956778,0.123431534
84,0.342306797,0.106516425
85,0.586962459,0.110969963
86,0.38634054,0.097573044
87,0.353758728,0.136456481
88,0.347515657,0.118527209
89,0.387794911,0.110398071
90,0.432799797,0.113279092
91,0.217555538,0.120047716
92,0.222655114,0.118269212
93,0.20422292,0.123871557
94,0.374339196,0.124301261
95,0.380352287,0.097793719
96,0.348785556,0.114196874
97,0.249663804,0.127815211
98,0.371681796,0.120693821
99,0.310513091,0.133686383
100,0.397287852,0.111790482
101,0.570679301,0.107617614
102,0.301787728,0.133914239
103,0.296402033,0.126876794
104,0.281646067,0.126194778
105,-0.051058658,0.135104435
106,0.431238737,0.12513806
107,0.504095149,0.10164891
108,0.168282593,0.108387693
109,0.494966059,0.100397051
110,0.162039294,0.112834626
111,0.524684865,0.103039712
112,0.065375113,0.103583805
113,0.40817562,0.116641583
114,0.209415855,0.119612646
115,0.306085762,0.109774388
116,0.068523078,0.111997094
117,0.34350289,0.122130486
118,0.305970632,0.103093466
119,0.142038497,0.118526695
120,0.489955511,0.095971211
121,0.211286057,0.137854028
122,0.425029319,0.123586473
123,0.426627131,0.122878207
124,0.423908776,0.109511796
125,0.399713791,0.108002751
126,0.312121961,0.100824512
127,0.307060205,0.099341096
128,0.452838784,0.101556751
129,0.410107718,0.105502095
130,0.364719032,0.125280174
131,0.311947115,0.117166833
132,0.159400633,0.133218454
133,0.512660241,0.118382212
134,0.27595737,0.128970874
135,0.244428741,0.112079716
136,0.086040949,0.135241704
137,0.002618452,0.1102619
138,0.40774487,0.1191896
139,0.396904611,0.111139092
140,0.280354998,0.129376696
141,0.350233981,0.107020718
142,0.15557246,0.101204467
143,0.221613405,0.116367007
144,0.344328766,0.114945391
145,0.24650914,0.123169801
146,0.271447741,0.121158327
147,0.480698699,0.127871689
148,0.290751768,0.120869259
149,0.570209926,0.099459513
150,0.377559291,0.102621786
151,0.465613526,0.11529891
152,0.308111875,0.118172473
153,0.517771699,0.093178132
154,0.417241435,0.100499263
155,0.316658039,0.092541028
156,0.392071408,0.112086322
157,0.232538196,0.145191574
158,0.340682249,0.121668937
159,0.186881275,0.118928725
160,0.254929106,0.109194557
161,0.16878937,0.101265543
162,0.380179916,0.114765294
163,0.340348714,0.105480437
164,0.280899191,0.117988212
165,0.494228858,0.121237319
166,0.271357351,0.129535779
167,0.450990973,0.112205712
168,0.314960686,0.123891434
169,0.196171523,0.098715748
170,0.180822109,0.105979084
171,-0.018848481,0.131330013
172,0.47318169,0.104079386
173,0.473358535,0.110671711
174,0.387243395,0.114108598
175,0.235801906,0.123458393
176,0.380882493,0.10669614
177,0.339507817,0.121429737
178,0.125966724,0.121177919
179,0.2129121,0.128326105
180,0.422949974,0.102477771
181,0.436165715,0.109288148
182,0.230380769,0.104418152
183,0.36728658,0.106584989
184,0.243098564,0.120112375
185,0.226111985,0.121527173
186,-0.061265067,0.120858725
187,0.319825403,0.118671606
188,0.243271959,0.100137928
189,0.276784152,0.118290417
190,0.070652405,0.117439186
191,0.34581598,0.121232019
192,0.52900592,0.102929103
193,0.25345057,0.117150717
194,0.504627062,0.092934309
195,0.507033286,0.09958992
196,0.328799299,0.103158515
197,0.594218866,0.109201373
198,0.250511228,0.130438792
199,0.196695877,0.109717765
200,0.323720316,0.102228405
201,0.342679901,0.117407623
202,0.322581735,0.120161585
203,0.422026896,0.115275307
204,0.53439171,0.11011321
205,0.183090532,0.110490773
206,0.348198767,0.113256494
207,0.246531177,0.1103365
208,0.51182762,0.115141484
209,0.222262087,0.115387595
210,0.414048027,0.103325992
211,0.244451947,0.098903365
212,0.377138717,0.111421808
213,0.458208427,0.104318012
214,0.132516086,0.120353322
215,0.3361506,0.123104389
216,0.186333811,0.127319549
217,0.184163732,0.127944749
218,0.392307865,0.111342731
219,0.443982563,0.097200498
220,0.608866525,0.100080276
221,-0.006404862,0.132530807
222,0.416718928,0.100648336
223,0.305343362,0.103973727
224,-0.085368627,0.12287669
225,0.08161803,0.1229939
226,0.432677761,0.108288754
227,0.460951665,0.10647755
228,0.31595469,0.116838562
229,0.229870935,0.106781516
230,0.126313882,0.125965419
231,0.421345219,0.123310452
232,0.222483682,0.126165515
233,0.13723174,0.127827101
234,0.307893571,0.106468209
235,0.313390796,0.114746846
236,0.257689315,0.113675464
237,0.073699467,0.12222646
238,0.256934394,0.128485671
239,0.326184897,0.106689032
240,0.406215099,0.117863447
241,0.323736198,0.111247131
242,0.190878122,0.13009241
243,0.416350114,0.104618139
244,0.250515705,0.126247945
245,0.081769521,0.112351556
246,0.13905864,0.109749356
247,0.377708517,0.11288687
248,0.325486624,0.114979611
249,0.379329311,0.112287825
250,0.298779353,0.121771825
251,0.184683741,0.108847571
252,0.25103405,0.112013799
253,0.280680281,0.106294433
254,0.242146517,0.117982682
255,0.21831733,0.104872321
256,0.506569467,0.117683481
257,0.350637168,0.123556058
258,0.062348475,0.115296826
259,0.471133751,0.116676964
260,0.278661466,0.113669873
261,0.219432042,0.12904761
262,0.099879394,0.115082212
263,0.16664361,0.118080042
264,0.096185831,0.116241873
265,0.363575566,0.107928579
266,0.097980499,0.114313105
267,0.34101212,0.107994979
268,0.222723884,0.124658549
269,0.442065977,0.113894383
270,0.441240124,0.110934491
271,0.088879541,0.147833216
272,0.470108057,0.110907964
273,0.327883996,0.121537783
274,0.309551181,0.114309984
275,0.280524389,0.113263522
276,0.40485638,0.096627643
277,0.327525549,0.117522141
278,0.401318995,0.119381398
279,0.006568636,0.125023977
280,0.245202529,0.113908908
281,0.315227812,0.106259263
282,0.210632543,0.109319059
283,0.445807562,0.098605747
284,0.429496688,0.118628852
285,0.562050623,0.096139778
286,0.076081021,0.126988433
287,0.540670873,0.102766979
288,0.458917501,0.106493589
289,0.462677083,0.1092687
290,0.24436037,0.108445794
291,0.396894354,0.105468595
292,0.317587808,0.115783891
293,0.265876569,0.114394077
294,0.011429865,0.121741656
295,0.222500402,0.109989368
296,0.393611958,0.138484097
297,0.267091594,0.10430918
298,0.434846896,0.108224103
299,0.310809885,0.100541761
300,0.248393264,0.122002057
301,0.308352177,0.112995402
302,0.266229421,0.120478659
303,0.250212883,0.117592179
304,0.406013591,0.114743913
305,0.361137182,0.107506462
306,0.486207777,0.104110419
307,0.384505935,0.114344468
308,0.37457979,0.111791655
309,0.333116558,0.122402084
310,0.32132629,0.110759095
311,0.263883475,0.124114004
312,0.407506423,0.106022668
313,0.286156851,0.115138012
314,0.363557169,0.12629097
315,0.321184033,0.123657613
316,0.161606755,0.100739519
317,0.447103503,0.121125479
318,0.505576049,0.104159388
319,0.138577907,0.120494281
320,0.354243197,0.10512446
321,0.439857553,0.106027586
322,0.328347702,0.107269746
323,0.150347645,0.135248558
324,0.474701652,0.11143958
325,0.472732313,0.108967852
326,0.342968107,0.12437084
327,0.182039226,0.113405212
328,0.280015729,0.123937977
329,0.385434431,0.114226577
330,0.271228947,0.103163406
331,0.359584882,0.125086168
332,0.463508062,0.103762575
333,0.402016549,0.109207527
334,0.223703866,0.117700114
335,0.494601237,0.098370106
336,0.259417173,0.109795469
337,0.390008668,0.099999136
338,0.273905084,0.094595062
339,0.332525122,0.112991397
340,0.16050124,0.12265173
341,0.439948658,0.117393902
342,0.513699048,0.105075713
343,0.248616085,0.125235222
344,0.310458595,0.131822927
345,0.426798105,0.125726498
346,0.167334222,0.130732509
347,0.221672927,0.123109074
348,0.340628245,0.117556823
349,0.410560597,0.110419009
350,0.053799845,0.125768298
351,0.434859321,0.129698209
352,0.182213654,0.104111034
353,0.332843876,0.125793675
354,0.298694405,0.115776091
355,0.249699146,0.105968447
356,0.194185724,0.099966887
357,0.383736855,0.106665157
358,0.500533814,0.104025124
359,0.372519496,0.118007094
360,0.223155595,0.135420079
361,0.503061866,0.118042985
362,0.370827843,0.117055685
363,0.402586555,0.121832689
364,0.555401492,0.097411569
365,0.099453545,0.102890719
366,0.072185894,0.126350968
367,0.406114818,0.108406397
368,0.09238573,0.119877292
369,0.374774271,0.12246214
370,0.240952356,0.106031144
371,0.436067384,0.111673194
372,0.103093017,0.128226601
373,0.256958367,0.117476446
374,0.481271648,0.119470857
375,0.264325759,0.118366204
376,0.386383564,0.09901573
377,0.472048201,0.09955615
378,0.141380898,0.118259994
379,0.150040912,0.119954545
380,0.496828964,0.112802567
381,0.168839662,0.116902226
382,0.229786296,0.117688311
383,0.164452337,0.112034351
384,0.261686783,0.122761479
385,0.198033538,0.13069286
386,0.491962978,0.111957339
387,0.258382027,0.121485138
388,0.148441479,0.120537074
389,0.442318089,0.097032026
390,0.190072379,0.123871898
391,0.360303982,0.108099799
392,0.293520933,0.107942083
393,0.447851281,0.106821313
394,0.442012638,0.103813545
395,0.531513562,0.084500726
396,0.134069302,0.118760859
397,0.305118012,0.095811165
398,0.466390083,0.127515443
399,0.515007018,0.118429435
400,-0.144230494,0.132727113
401,0.194598413,0.12342853
402,0.404040852,0.107124073
403,0.418955266,0.104318025
404,0.371742404,0.115394258
405,0.460969468,0.109299254
406,0.403515846,0.104248426
407,0.226468073,0.136568722
408,0.017535353,0.109536215
409,0.30329517,0.09925128
410,0.461103129,0.09997026
411,0.525780795,0.104058494
412,0.397113719,0.133771202
413,0.199595608,0.125356502
414,0.306731335,0.11064338
415,0.310311323,0.114934355
416,0.338141215,0.111726216
417,0.462936409,0.105852344
418,0.282947048,0.10849708
419,0.42141192,0.103187667
420,0.269981003,0.113874239
421,0.396897291,0.098512886
422,0.16461433,0.113716058
423,0.414946731,0.143174404
424,0.396010249,0.106630625
425,0.582581675,0.095335321
426,0.355117562,0.127322506
427,0.530484539,0.098607498
428,0.522099832,0.108880616
429,0.346643061,0.113066446
430,0.40958697,0.104047998
431,0.194616844,0.109113893
432,0.199597935,0.12100542
433,0.412072917,0.111246104
434,0.501752318,0.094712371
435,0.460636144,0.119403143
436,-0.035306157,0.119203774
437,0.413534597,0.101954695
438,0.307774067,0.111921368
439,0.496190956,0.111406448
440,0.128173908,0.118022432
441,0.526926071,0.103221211
442,0.214695771,0.128255982
443,-0.050751104,0.109051637
444,0.232291702,0.124474783
445,0.39675029,0.109823311
446,0.373539644,0.119322791
447,0.394633072,0.120401996
448,0.361351227,0.110518975
449,0.178868546,0.13320116
450,0.212500704,0.116234523
451,0.327527466,0.117404177
452,0.506231987,0.105142413
453,0.275008312,0.114198969
454,0.023750491,0.109768349
455,0.338035128,0.139141287
456,0.375124571,0.116236349
457,0.526053155,0.103962372
458,0.332277924,0.100573816
459,0.422833574,0.129459227
460,0.196547745,0.118941256
461,0.40559614,0.104632749
462,0.393036156,0.088653384
463,0.404080784,0.093594646
464,-0.081651001,0.120964865
465,0.280947385,0.114535129
466,0.518631644,0.110683724
467,0.48533499,0.118284805
