b,scenario,mu,pi
0,S0,0.493489292,0.0261
0,S_E,0.40930167,0.0024
0,S_M,0.494722688,0.0265
0,S_D,0.459640697,0.0094
0,S_C,0.427961832,0.0023
1,S0,0.488375771,0.0169
1,S_E,0.410115153,0.0019
1,S_M,0.464042704,0.0095
1,S_D,0.449300598,0.0064
1,S_C,0.413095052,0.0007
2,S0,0.513034541,0.0535
2,S_E,0.434737474,0.0055
2,S_M,0.499986897,0.0414
2,S_D,0.476802429,0.0195
2,S_C,0.446946327,0.005
3,S0,0.511798148,0.0269
3,S_E,0.431725078,0.0017
3,S_M,0.51385526,0.0269
3,S_D,0.476620541,0.0112
3,S_C,0.44476456,0.0024
4,S0,0.506168572,0.0375
4,S_E,0.427233374,0.0032
4,S_M,0.510566301,0.0311
4,S_D,0.474510154,0.0136
4,S_C,0.449326172,0.0025
5,S0,0.498103258,0.0278
5,S_E,0.405515014,0.0019
5,S_M,0.504159877,0.0218
5,S_D,0.462985899,0.0099
5,S_C,0.43319878,0.002
6,S0,0.502909966,0.0325
6,S_E,0.398132605,0.0027
6,S_M,0.510253455,0.0261
6,S_D,0.460369968,0.0126
6,S_C,0.421779522,0.0038
7,S0,0.482194262,0.0277
7,S_E,0.401124572,0.0027
7,S_M,0.479617847,0.0185
7,S_D,0.440736464,0.0086
7,S_C,0.404759219,0.0012
8,S0,0.501037572,0.0417
8,S_E,0.413938025,0.0026
8,S_M,0.485556725,0.034
8,S_D,0.457872012,0.0136
8,S_C,0.41812037,0.0012
9,S0,0.503854239,0.0203
9,S_E,0.410266389,0.001
9,S_M,0.514330391,0.0231
9,S_D,0.469518748,0.0085
9,S_C,0.434223394,0.0021
10,S0,0.501952911,0.0366
10,S_E,0.42204596,0.0075
10,S_M,0.483998401,0.019
10,S_D,0.461622083,0.0129
10,S_C,0.423061254,0.0036
11,S0,0.499032726,0.0382
11,S_E,0.398092372,0.0014
11,S_M,0.498649886,0.0335
11,S_D,0.458942719,0.0148
11,S_C,0.425640986,0.0036
12,S0,0.505488108,0.0237
12,S_E,0.424344745,0.0026
12,S_M,0.50612006,0.0138
12,S_D,0.471057869,0.0064
12,S_C,0.440574218,0.0023
13,S0,0.503481143,0.0464
13,S_E,0.406980143,0.0007
13,S_M,0.504732618,0.0422
13,S_D,0.462413405,0.0147
13,S_C,0.423275747,0.0011
14,S0,0.50466654,0.0257
14,S_E,0.43969174,0.0019
14,S_M,0.499223872,0.0235
14,S_D,0.477303623,0.0116
14,S_C,0.450167215,0.0033
15,S0,0.50283352,0.0393
15,S_E,0.416243751,0.0038
15,S_M,0.501161243,0.0269
15,S_D,0.463740701,0.012
15,S_C,0.428156037,0.0023
16,S0,0.486924358,0.0129
16,S_E,0.385859181,0.0022
16,S_M,0.507908078,0.0154
16,S_D,0.456373985,0.0065
16,S_C,0.431636487,0.0025
17,S0,0.505683909,0.0421
17,S_E,0.415728674,0.0047
17,S_M,0.502519046,0.0359
17,S_D,0.468340708,0.0173
17,S_C,0.431163823,0.0044
18,S0,0.507357713,0.0234
18,S_E,0.426849277,0.0037
18,S_M,0.502247583,0.0128
18,S_D,0.469048047,0.0093
18,S_C,0.433018838,0.0024
19,S0,0.50132258,0.0371
19,S_E,0.410611815,0.0035
19,S_M,0.500588907,0.0301
19,S_D,0.461464402,0.0159
19,S_C,0.427746556,0.0059
20,S0,0.496449942,0.0221
20,S_E,0.407370783,0.0012
20,S_M,0.5035124,0.0206
20,S_D,0.457887582,0.0094
20,S_C,0.422617769,0.0035
21,S0,0.49909907,0.0265
21,S_E,0.404540219,0.0049
21,S_M,0.50460908,0.0166
21,S_D,0.457779817,0.0095
21,S_C,0.424156942,0.0032
22,S0,0.501398217,0.0226
22,S_E,0.414449912,0.0041
22,S_M,0.486166285,0.0108
22,S_D,0.459938761,0.0072
22,S_C,0.422095145,0.0031
23,S0,0.497100233,0.0364
23,S_E,0.413873884,0.0033
23,S_M,0.481977759,0.0235
23,S_D,0.457199983,0.0135
23,S_C,0.416881512,0.0028
24,S0,0.500638714,0.0374
24,S_E,0.417760875,0.0035
24,S_M,0.49664649,0.0293
24,S_D,0.461669543,0.0145
24,S_C,0.427690856,0.0025
25,S0,0.50142242,0.0295
25,S_E,0.420194589,0.0019
25,S_M,0.503008653,0.0272
25,S_D,0.472969753,0.0125
25,S_C,0.451114374,0.0059
26,S0,0.494460349,0.0264
26,S_E,0.409808275,0.0014
26,S_M,0.484268068,0.0159
26,S_D,0.450619833,0.0074
26,S_C,0.411249942,0.0007
27,S0,0.50727451,0.0349
27,S_E,0.426464109,0.002
27,S_M,0.512186278,0.0327
27,S_D,0.477657979,0.0129
27,S_C,0.449717711,0.0024
28,S0,0.499812218,0.0416
28,S_E,0.404035451,0.0059
28,S_M,0.499100287,0.035
28,S_D,0.461003638,0.0166
28,S_C,0.423140869,0.0048
29,S0,0.501490825,0.047
29,S_E,0.400941047,0.0063
29,S_M,0.515298729,0.0458
29,S_D,0.465890724,0.0221
29,S_C,0.431704769,0.0072
30,S0,0.498584362,0.0426
30,S_E,0.416764655,0.0015
30,S_M,0.519646888,0.0421
30,S_D,0.469708405,0.0162
30,S_C,0.458180568,0.0054
31,S0,0.501123853,0.0179
31,S_E,0.421116583,0.0024
31,S_M,0.498080743,0.0102
31,S_D,0.469444077,0.0063
